Log created: 2023-04-10 09:32:54
Type: backup
[2023-04-10 09:32:58][notice]Start backing up.
[2023-04-10 09:32:58][notice]server info fcgi:Off max execution time: 300 wp version:6.2 php version:8.2.0 db version:10.4.27 php ini:safe_mode: memory_limit:256M memory_get_usage:144.82 MB memory_get_peak_usage:145.60 MB extensions:PDO enabled curl enabled zlib enabled   is_multisite:0
[2023-04-10 09:32:58][notice]Prepare to backup backup_db files.
[2023-04-10 09:33:02][notice]Start exporting database.
[2023-04-10 09:33:02][notice]Preparing to dump table wp_wfls_role_counts
[2023-04-10 09:33:02][notice]Preparing to dump table wp_cky_cookies
[2023-04-10 09:33:02][notice]Preparing to dump table wp_gla_attribute_mapping_rules
[2023-04-10 09:33:03][notice]Preparing to dump table wp_gla_merchant_issues
[2023-04-10 09:33:03][notice]Preparing to dump table wp_mailpoet_automation_triggers
[2023-04-10 09:33:03][notice]Preparing to dump table wp_mailpoet_automations
[2023-04-10 09:33:03][notice]Preparing to dump table wp_mailpoet_forms
[2023-04-10 09:33:03][notice]Preparing to dump table wp_mailpoet_log
[2023-04-10 09:33:03][notice]Preparing to dump table wp_mailpoet_statistics_bounces
[2023-04-10 09:33:03][notice]Preparing to dump table wp_wc_category_lookup
[2023-04-10 09:33:03][notice]Preparing to dump table wp_wc_reserved_stock
[2023-04-10 09:33:03][notice]Preparing to dump table wp_wfblockediplog
[2023-04-10 09:33:03][notice]Preparing to dump table wp_wfcrawlers
[2023-04-10 09:33:03][notice]Preparing to dump table wp_wffilechanges
[2023-04-10 09:33:03][notice]Preparing to dump table wp_wflocs
[2023-04-10 09:33:03][notice]Preparing to dump table wp_wfls_settings
[2023-04-10 09:33:03][notice]Preparing to dump table wp_wfnotifications
[2023-04-10 09:33:03][notice]Preparing to dump table wp_wfreversecache
[2023-04-10 09:33:03][notice]Preparing to dump table wp_wftrafficrates
[2023-04-10 09:33:03][notice]Preparing to dump table wp_woocommerce_shipping_zone_methods
[2023-04-10 09:33:03][notice]Preparing to dump table wp_woocommerce_shipping_zones
[2023-04-10 09:33:03][notice]Preparing to dump table wp_actionscheduler_claims
[2023-04-10 09:33:03][notice]Preparing to dump table wp_actionscheduler_groups
[2023-04-10 09:33:03][notice]Preparing to dump table wp_cky_cookie_categories
[2023-04-10 09:33:03][notice]Preparing to dump table wp_e_events
[2023-04-10 09:33:03][notice]Preparing to dump table wp_gla_shipping_times
[2023-04-10 09:33:03][notice]Preparing to dump table wp_links
[2023-04-10 09:33:03][notice]Preparing to dump table wp_mailpoet_automation_run_logs
[2023-04-10 09:33:03][notice]Preparing to dump table wp_mailpoet_automation_runs
[2023-04-10 09:33:03][notice]Preparing to dump table wp_mailpoet_automation_versions
[2023-04-10 09:33:03][notice]Preparing to dump table wp_mailpoet_custom_fields
[2023-04-10 09:33:03][notice]Preparing to dump table wp_mailpoet_dynamic_segment_filters
